ID,juego,desarrolladora,genero,estado_disponible
1,The Legend of Zelda: Breath of the Wild,Nintendo,Aventura,true
2,God of War,Santa Monica Studio,Accion,true
3,Cyberpunk 2077,CD Projekt Red,RPG,false
4,Minecraft,Mojang,Sandbox,true
5,The Last of Us Part II,Naughty Dog,Aventura,false
6,Elden Ring,FromSoftware,RPG,true
7,FIFA 24,EA Sports,Deportes,true
8,Red Dead Redemption 2,Rockstar Games,Accion,false
9,Hollow Knight,Team Cherry,Plataformas,true
10,Hades,Supergiant Games,Roguelike,true
11,Bendy and the Ink Machine,Joey Drew Studios,Terror,true
